index,Source Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Std,Fwd Packets/s,Bwd Packets/s,Min Packet Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Std,Label
594,45670,79,1,4,0,0.0,0,0,0.0,0,0,0.0,19.75,34.20891697,1.0,0.0,12658.22785,50632.91139,0,0,0,0,0,1,1,0,4,253,0,0,32,0.0,0.0,0.0,0.0,0.0,1
502,50878,46854,2,2,72,202.0,36,36,36.0,101,101,101.0,15618.0,27045.10734,3.0,0.0,42.6857899,42.6857899,36,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
918,8853,5295755,5,2,123,46.0,46,0,24.6,46,0,23.0,882625.8333,2007360.2,4.0,2437413.834,0.944152439,0.377660976,0,0,1,0,0,1,0,0,0,256,351,2,20,0.0,0.0,0.0,0.0,0.0,1
610,443,33699,6,1,437,0.0,301,0,72.83333333,0,0,0.0,5616.5,9507.195922,47.0,10174.97212,178.0468263,29.67447105,0,0,1,0,0,1,0,0,0,343,0,3,20,0.0,0.0,0.0,0.0,0.0,1
401,80,65,1,1,0,0.0,0,0,0.0,0,0,0.0,65.0,0.0,65.0,0.0,15384.61538,15384.61538,0,0,0,0,0,1,1,0,1,340,240,0,32,0.0,0.0,0.0,0.0,0.0,1
198,49934,12437229,21,32,2024,2745.0,640,0,96.38095238,976,0,85.78125,239177.4808,646949.6917,3.0,920685.8318,1.688479001,2.572920383,0,0,0,0,1,0,0,0,1,29200,257,16,32,0.0,0.0,0.0,0.0,0.0,0
684,61192,22545758,2,2,105,242.0,55,50,52.5,121,121,121.0,7515252.667,13000000.0,30507.0,0.0,0.088708483,0.088708483,50,0,0,0,0,0,0,0,1,-1,-1,1,20,30507.0,0.0,30507.0,30507.0,0.0,1
675,61957,23509,1,1,45,77.0,45,45,45.0,77,77,77.0,23509.0,0.0,23509.0,0.0,42.53690076,42.53690076,45,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
899,59486,10155100,9,15,107,188.0,23,0,11.88888889,34,0,12.53333333,441526.087,1148526.041,3.0,1589710.301,0.886254197,1.477090329,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
397,54766,5993448,3,1,0,0.0,0,0,0.0,0,0,0.0,1997816.0,3413287.655,130.0,4161030.665,0.500546597,0.166848866,0,0,0,0,1,0,0,0,0,8192,29200,0,20,0.0,0.0,0.0,0.0,0.0,1
